Dec   Hex  Oct   Code     Char Description
162   a2   242   U+00dd   Ý    LATIN CAPITAL LETTER Y WITH ACUTE
163   a3   243   U+00df   ß    LATIN SMALL LETTER SHARP S
164   a4   244   U+00e0   à    LATIN SMALL LETTER A WITH GRAVE
165   a5   245   U+00e1   á    LATIN SMALL LETTER A WITH ACUTE
166   a6   246   U+00e2   â    LATIN SMALL LETTER A WITH CIRCUMFLEX
167   a7   247   U+00e3   ã    LATIN SMALL LETTER A WITH TILDE
168   a8   250   U+00e4   ä    LATIN SMALL LETTER A WITH DIAERESIS
169   a9   251   U+00e5   å    LATIN SMALL LETTER A WITH RING ABOVE
170   aa   252   U+00e7   ç    LATIN SMALL LETTER C WITH CEDILLA
171   ab   253   U+00e8   è    LATIN SMALL LETTER E WITH GRAVE
172   ac   254   U+00e9   é    LATIN SMALL LETTER E WITH ACUTE
173   ad   255   U+00ea   ê    LATIN SMALL LETTER E WITH CIRCUMFLEX
174   ae   256   U+00eb   ë    LATIN SMALL LETTER E WITH DIAERESIS
175   af   257   U+00ec   ì    LATIN SMALL LETTER I WITH GRAVE
176   b0   260   U+00ed   í    LATIN SMALL LETTER I WITH ACUTE
177   b1   261   U+00ee   î    LATIN SMALL LETTER I WITH CIRCUMFLEX
178   b2   262   U+00ef   ï    LATIN SMALL LETTER I WITH DIAERESIS
179   b3   263   U+00f1   ñ    LATIN SMALL LETTER N WITH TILDE
180   b4   264   U+00f2   ò    LATIN SMALL LETTER O WITH GRAVE
181   b5   265   U+00f3   ó    LATIN SMALL LETTER O WITH ACUTE
182   b6   266   U+00f4   ô    LATIN SMALL LETTER O WITH CIRCUMFLEX
183   b7   267   U+00f5   õ    LATIN SMALL LETTER O WITH TILDE
184   b8   270   U+00f6   ö    LATIN SMALL LETTER O WITH DIAERESIS
185   b9   271   U+00f8   ø    LATIN SMALL LETTER O WITH STROKE
186   ba   272   U+00f9   ù    LATIN SMALL LETTER U WITH GRAVE
187   bb   273   U+00fa   ú    LATIN SMALL LETTER U WITH ACUTE
188   bc   274   U+00fb   û    LATIN SMALL LETTER U WITH CIRCUMFLEX
189   bd   275   U+00fc   ü    LATIN SMALL LETTER U WITH DIAERESIS
190   be   276   U+00fd   ý    LATIN SMALL LETTER Y WITH ACUTE
191   bf   277   U+00ff   ÿ    LATIN SMALL LETTER Y WITH DIAERESIS
192   c0   300   U+0102   Ă    LATIN CAPITAL LETTER A WITH BREVE
193   c1   301   U+0103   ă    LATIN SMALL LETTER A WITH BREVE
194   c2   302   U+0104   Ą    LATIN CAPITAL LETTER A WITH OGONEK
195   c3   303   U+0105   ą    LATIN SMALL LETTER A WITH OGONEK
196   c4   304   U+0106   Ć    LATIN CAPITAL LETTER C WITH ACUTE
197   c5   305   U+0107   ć    LATIN SMALL LETTER C WITH ACUTE
198   c6   306   U+010c   Č    LATIN CAPITAL LETTER C WITH CARON
199   c7   307   U+010d   č    LATIN SMALL LETTER C WITH CARON
200   c8   310   U+010e   Ď    LATIN CAPITAL LETTER D WITH CARON
201   c9   311   U+010f   ď    LATIN SMALL LETTER D WITH CARON
202   ca   312   U+0110   Đ    LATIN CAPITAL LETTER D WITH STROKE
203   cb   313   U+0111   đ    LATIN SMALL LETTER D WITH STROKE
204   cc   314   U+0118   Ę    LATIN CAPITAL LETTER E WITH OGONEK
205   cd   315   U+0119   ę    LATIN SMALL LETTER E WITH OGONEK
206   ce   316   U+011a   Ě    LATIN CAPITAL LETTER E WITH CARON
207   cf   317   U+011b   ě    LATIN SMALL LETTER E WITH CARON
208   d0   320   U+0139   Ĺ    LATIN CAPITAL LETTER L WITH ACUTE
209   d1   321   U+013a   ĺ    LATIN SMALL LETTER L WITH ACUTE
210   d2   322   U+013d   Ľ    LATIN CAPITAL LETTER L WITH CARON
211   d3   323   U+013e   ľ    LATIN SMALL LETTER L WITH CARON
212   d4   324   U+0141   Ł    LATIN CAPITAL LETTER L WITH STROKE
213   d5   325   U+0142   ł    LATIN SMALL LETTER L WITH STROKE
214   d6   326   U+0143   Ń    LATIN CAPITAL LETTER N WITH ACUTE
215   d7   327   U+0144   ń    LATIN SMALL LETTER N WITH ACUTE
216   d8   330   U+0147   Ň    LATIN CAPITAL LETTER N WITH CARON
217   d9   331   U+0148   ň    LATIN SMALL LETTER N WITH CARON
218   da   332   U+0150   Ő    LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
219   db   333   U+0151   ő    LATIN SMALL LETTER O WITH DOUBLE ACUTE
220   dc   334   U+0154   Ŕ    LATIN CAPITAL LETTER R WITH ACUTE
221   dd   335   U+0155   ŕ    LATIN SMALL LETTER R WITH ACUTE
222   de   336   U+0158   Ř    LATIN CAPITAL LETTER R WITH CARON
223   df   337   U+0159   ř    LATIN SMALL LETTER R WITH CARON
224   e0   340   U+015a   Ś    LATIN CAPITAL LETTER S WITH ACUTE
225   e1   341   U+015b   ś    LATIN SMALL LETTER S WITH ACUTE
226   e2   342   U+015e   Ş    LATIN CAPITAL LETTER S WITH CEDILLA
227   e3   343   U+015f   ş    LATIN SMALL LETTER S WITH CEDILLA
228   e4   344   U+0160   Š    LATIN CAPITAL LETTER S WITH CARON
229   e5   345   U+0161   š    LATIN SMALL LETTER S WITH CARON
230   e6   346   U+0162   Ţ    LATIN CAPITAL LETTER T WITH CEDILLA
231   e7   347   U+0163   ţ    LATIN SMALL LETTER T WITH CEDILLA
232   e8   350   U+0164   Ť    LATIN CAPITAL LETTER T WITH CARON
233   e9   351   U+0165   ť    LATIN SMALL LETTER T WITH CARON
234   ea   352   U+016e   Ů    LATIN CAPITAL LETTER U WITH RING ABOVE
235   eb   353   U+016f   ů    LATIN SMALL LETTER U WITH RING ABOVE
236   ec   354   U+0170   Ű    LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
237   ed   355   U+0171   ű    LATIN SMALL LETTER U WITH DOUBLE ACUTE
238   ee   356   U+0178   Ÿ    LATIN CAPITAL LETTER Y WITH DIAERESIS
239   ef   357   U+0179   Ź    LATIN CAPITAL LETTER Z WITH ACUTE
240   f0   360   U+017a   ź    LATIN SMALL LETTER Z WITH ACUTE
